Starting SASC.
Iteration: 1
Step			Log-likelihood			Temperature
1			-16402.490069			99900.000000
1000			-16430.506849			36769.542477
2000			-16037.165854			23501.721022
3000			-17606.445335			21265.130236
4000			-16543.172327			19241.389323
5000			-14719.137640			17410.241977
6000			-16606.905824			15753.359626
7000			-16141.210784			14254.157974
8000			-15308.886657			12897.631004
9000			-17315.263837			11670.200782
10000			-15878.195656			10559.581542
11000			-15911.156100			9554.656721
12000			-15833.380429			8645.367688
13000			-17088.223453			7822.613061
14000			-14534.698677			7078.157611
15000			-17178.988613			6404.549832
16000			-16984.806074			5795.047357
17000			-16240.795851			5243.549468
18000			-15983.735919			4744.536038
19000			-17182.331286			4293.012272
20000			-15419.895535			3884.458716
21000			-15029.548264			3514.786020
22000			-14875.248966			3180.294005
23000			-13785.346073			2877.634626
24000			-16008.929139			2603.778466
25000			-16621.657571			2355.984403
26000			-16730.883616			2131.772185
27000			-15104.476740			1928.897594
28000			-14859.802381			1745.329992
29000			-13065.282866			1579.231987
30000			-14086.115719			1428.941048
31000			-15229.002840			1292.952863
32000			-14783.891567			1169.906280
33000			-11420.136503			1058.569685
34000			-13605.223223			957.828671
35000			-12939.671830			866.674888
36000			-14581.880078			784.195947
37000			-14072.234813			709.566288
38000			-12633.902911			642.038917
39000			-14004.771602			580.937931
40000			-12756.898365			525.651749
41000			-13178.508329			475.626993
42000			-14220.311991			430.362949
43000			-12218.813968			389.406552
44000			-13174.719948			352.347857
45000			-10564.314126			318.815931
46000			-11305.697090			288.475142
47000			-10550.163515			261.021797
48000			-10933.939718			236.181108
49000			-9858.040905			213.704435
50000			-9692.628652			193.366803
51000			-10501.644990			174.964643
52000			-9060.266534			158.313765
53000			-8921.583985			143.247502
54000			-8995.770634			129.615051
55000			-9082.908680			117.279962
56000			-7580.054463			106.118767
57000			-6422.119476			96.019751
58000			-6326.586656			86.881830
59000			-5462.090903			78.613537
60000			-5104.531131			71.132114
61000			-4547.657476			64.362677
62000			-2853.001630			58.237467
63000			-2910.043943			52.695176
64000			-2475.031035			47.680328
65000			-2232.233210			43.142730
66000			-2336.509752			39.036961
67000			-2224.580263			35.321926
68000			-1939.884752			31.960441
69000			-1868.439640			28.918858
70000			-2005.096066			26.166734
71000			-1755.290362			23.676522
72000			-1433.362225			21.423296
73000			-1437.220952			19.384503
74000			-1323.394353			17.539736
75000			-1270.275273			15.870530
76000			-1275.966603			14.360177
77000			-1196.287984			12.993561
78000			-1146.963124			11.757001
79000			-1146.963124			10.638121
80000			-1054.004735			9.625722
81000			-1040.724965			8.709670
82000			-1050.210515			7.880796
83000			-1044.519185			7.130803
84000			-1052.107625			6.452185
85000			-1044.519185			5.838150
86000			-1038.827855			5.282550
87000			-993.297215			4.779825
88000			-1006.576985			4.324943
89000			-997.091435			3.913350
90000			-997.091435			3.540928
91000			-989.502995			3.203948
92000			-993.297215			2.899038
93000			-995.194325			2.623145
94000			-989.502995			2.373508
95000			-1000.885655			2.147628
96000			-989.502995			1.943244
97000			-976.223226			1.758311
98000			-976.223226			1.590978
99000			-983.811666			1.439569
100000			-983.811666			1.302570
101000			-976.223226			1.178608
102000			-974.326116			1.066443
103000			-978.120336			0.964953
104000			-972.429006			0.873121
105000			-970.531896			0.790029
106000			-968.634786			0.714844
107000			-968.634786			0.646814
108000			-966.737676			0.585259
109000			-964.840566			0.529561
110000			-964.840566			0.479165
111000			-964.840566			0.433564
112000			-962.943456			0.392303
113000			-962.943456			0.354969
114000			-962.943456			0.321187
115000			-962.943456			0.290621
116000			-962.943456			0.262963
117000			-962.943456			0.237938
118000			-962.943456			0.215294
119000			-962.943456			0.194805
120000			-962.943456			0.176266
121000			-962.943456			0.159491
122000			-962.943456			0.144313
123000			-962.943456			0.130579
124000			-962.943456			0.118152
125000			-962.943456			0.106908
126000			-962.943456			0.096734
127000			-962.943456			0.087528
128000			-962.943456			0.079198
129000			-962.943456			0.071661
130000			-962.943456			0.064841
131000			-962.943456			0.058671
132000			-962.943456			0.053087
133000			-962.943456			0.048035
134000			-962.943456			0.043464
135000			-962.943456			0.039327
136000			-962.943456			0.035585
137000			-962.943456			0.032198
138000			-962.943456			0.029134
139000			-962.943456			0.026361
140000			-962.943456			0.023853
141000			-962.943456			0.021583
142000			-962.943456			0.019529
143000			-962.943456			0.017670
144000			-962.943456			0.015989
145000			-962.943456			0.014467
146000			-962.943456			0.013090
147000			-962.943456			0.011844
148000			-962.943456			0.010717
149000			-962.943456			0.009697
150000			-962.943456			0.008774
151000			-962.943456			0.007939
152000			-962.943456			0.007184
153000			-962.943456			0.006500
154000			-962.943456			0.005882
