[----]	╒══════════════════════════════════════════════════════════════════════════════════════════════════╕
[----]	|                              Starting Pipeline at 2022-03-04 10:42                               |
[----]	╘══════════════════════════════════════════════════════════════════════════════════════════════════╛
[10.1]	
[10.1]	========================================= Stage sasc (10) ==========================================
[10.2]	
[10.2]	======================================= Stage sasc_rec (10) ========================================
[10.2.5247]	Starting SASC.
[10.2.5247]	Iteration: 1
[10.2.5247]	Step			Log-likelihood			Temperature
[10.2.5247]	1			-38306.696529			99900.000000
[10.2.5247]	1000			-36340.267096			36769.542477
[10.2.5247]	2000			-32252.159127			23501.721022
[10.2.5247]	3000			-35430.621905			21265.130236
[10.2.5247]	4000			-30356.280609			19241.389323
[10.2.5247]	5000			-30313.641095			17410.241977
[10.2.5247]	6000			-39638.145204			15753.359626
[10.2.5247]	7000			-34054.352164			14254.157974
[10.2.5247]	8000			-37980.921343			12897.631004
[10.2.5247]	9000			-29827.256629			11670.200782
[10.2.5247]	10000			-30867.822984			10559.581542
[10.2.5247]	11000			-29989.686835			9554.656721
[10.2.5247]	12000			-35148.500825			8645.367688
[10.2.5247]	13000			-33471.382194			7822.613061
[10.2.5247]	14000			-37456.582999			7078.157611
[10.2.5247]	15000			-25297.494337			6404.549832
[10.2.5247]	16000			-33973.072554			5795.047357
[10.2.5247]	17000			-28507.976372			5243.549468
[10.2.5247]	18000			-29778.770357			4744.536038
[10.2.5247]	19000			-37695.038296			4293.012272
[10.2.5247]	20000			-31429.264941			3884.458716
[10.2.5247]	21000			-36495.173370			3514.786020
[10.2.5247]	22000			-30694.461665			3180.294005
[10.2.5247]	23000			-30160.464826			2877.634626
[10.2.5247]	24000			-21813.552920			2603.778466
[10.2.5247]	25000			-29272.731630			2355.984403
[10.2.5247]	26000			-31570.184651			2131.772185
[10.2.5247]	27000			-26287.011668			1928.897594
[10.2.5247]	28000			-25954.774130			1745.329992
[10.2.5247]	29000			-26673.365359			1579.231987
[10.2.5247]	30000			-23303.836941			1428.941048
[10.2.5247]	31000			-33911.183338			1292.952863
[10.2.5247]	32000			-21857.579329			1169.906280
[10.2.5247]	33000			-21553.279329			1058.569685
[10.2.5247]	34000			-20220.874730			957.828671
[10.2.5247]	35000			-21556.622001			866.674888
[10.2.5247]	36000			-16484.641041			784.195947
[10.2.5247]	37000			-15642.136527			709.566288
[10.2.5247]	38000			-12388.106044			642.038917
[10.2.5247]	39000			-16716.850862			580.937931
[10.2.5247]	40000			-15035.228438			525.651749
[10.2.5247]	41000			-15649.208913			475.626993
[10.2.5247]	42000			-13098.806875			430.362949
[10.2.5247]	43000			-12854.859607			389.406552
[10.2.5247]	44000			-13134.529431			352.347857
[10.2.5247]	45000			-11363.388050			318.815931
[10.2.5247]	46000			-11441.723706			288.475142
[10.2.5247]	47000			-12069.649594			261.021797
[10.2.5247]	48000			-9703.079543			236.181108
[10.2.5247]	49000			-9967.842193			213.704435
[10.2.5247]	50000			-8676.130227			193.366803
[10.2.5247]	51000			-7762.793415			174.964643
[10.2.5247]	52000			-9255.393840			158.313765
[10.2.5247]	53000			-9950.504337			143.247502
[10.2.5247]	54000			-8786.452887			129.615051
[10.2.5247]	55000			-9415.067774			117.279962
[10.2.5247]	56000			-7861.410881			106.118767
[10.2.5247]	57000			-7058.927518			96.019751
[10.2.5247]	58000			-7229.441643			86.881830
[10.2.5247]	59000			-6790.699022			78.613537
[10.2.5247]	60000			-6593.257974			71.132114
[10.2.5247]	61000			-6173.563555			64.362677
[10.2.5247]	62000			-5677.423834			58.237467
[10.2.5247]	63000			-5851.022604			52.695176
[10.2.5247]	64000			-5879.059960			47.680328
[10.2.5247]	65000			-5992.789799			43.142730
[10.2.5247]	66000			-5930.959251			39.036961
[10.2.5247]	67000			-5304.499501			35.321926
[10.2.5247]	68000			-4458.839995			31.960441
[10.2.5247]	69000			-4479.675951			28.918858
[10.2.5247]	70000			-4244.789100			26.166734
[10.2.5247]	71000			-3851.061065			23.676522
[10.2.5247]	72000			-3567.139634			21.423296
[10.2.5247]	73000			-3451.448179			19.384503
[10.2.5247]	74000			-3208.618101			17.539736
[10.2.5247]	75000			-3197.235441			15.870530
[10.2.5247]	76000			-3294.020303			14.360177
[10.2.5247]	77000			-2877.881735			12.993561
[10.2.5247]	78000			-2796.306005			11.757001
[10.2.5247]	79000			-2545.887487			10.638121
[10.2.5247]	80000			-2428.266668			9.625722
[10.2.5247]	81000			-2451.031988			8.709670
[10.2.5247]	82000			-2447.237768			7.880796
[10.2.5247]	83000			-2394.118689			7.130803
[10.2.5247]	84000			-2361.867819			6.452185
[10.2.5247]	85000			-2352.382269			5.838150
[10.2.5247]	86000			-2348.588049			5.282550
[10.2.5247]	87000			-2339.102499			4.779825
[10.2.5247]	88000			-2346.690939			4.324943
[10.2.5247]	89000			-2301.160299			3.913350
[10.2.5247]	90000			-2293.571859			3.540928
[10.2.5247]	91000			-2246.144110			3.203948
[10.2.5247]	92000			-2242.349890			2.899038
[10.2.5247]	93000			-2230.967230			2.623145
[10.2.5247]	94000			-2234.761450			2.373508
[10.2.5247]	95000			-2232.864340			2.147628
[10.2.5247]	96000			-2240.452780			1.943244
[10.2.5247]	97000			-2225.275900			1.758311
[10.2.5247]	98000			-2217.687460			1.590978
[10.2.5247]	99000			-2213.893240			1.439569
[10.2.5247]	100000			-2215.790350			1.302570
[10.2.5247]	101000			-2213.893240			1.178608
[10.2.5247]	102000			-2211.996130			1.066443
[10.2.5247]	103000			-2210.099020			0.964953
[10.2.5247]	104000			-2210.099020			0.873121
[10.2.5247]	105000			-2206.304800			0.790029
[10.2.5247]	106000			-2204.407690			0.714844
[10.2.5247]	107000			-2204.407690			0.646814
[10.2.5247]	108000			-2204.407690			0.585259
[10.2.5247]	109000			-2204.407690			0.529561
[10.2.5247]	110000			-2204.407690			0.479165
[10.2.5247]	111000			-2204.407690			0.433564
[10.2.5247]	112000			-2204.407690			0.392303
[10.2.5247]	113000			-2204.407690			0.354969
[10.2.5247]	114000			-2204.407690			0.321187
[10.2.5247]	115000			-2204.407690			0.290621
[10.2.5247]	116000			-2204.407690			0.262963
[10.2.5247]	117000			-2204.407690			0.237938
[10.2.5247]	118000			-2202.510580			0.215294
[10.2.5247]	119000			-2202.510580			0.194805
[10.2.5247]	120000			-2202.510580			0.176266
[10.2.5247]	121000			-2202.510580			0.159491
[10.2.5247]	122000			-2202.510580			0.144313
[10.2.5247]	123000			-2202.510580			0.130579
[10.2.5247]	124000			-2202.510580			0.118152
[10.2.5247]	125000			-2202.510580			0.106908
[10.2.5247]	126000			-2202.510580			0.096734
[10.2.5247]	127000			-2202.510580			0.087528
[10.2.5247]	128000			-2202.510580			0.079198
[10.2.5247]	129000			-2202.510580			0.071661
[10.2.5247]	130000			-2202.510580			0.064841
[10.2.5247]	131000			-2202.510580			0.058671
[10.2.5247]	132000			-2202.510580			0.053087
[10.2.5247]	133000			-2202.510580			0.048035
[10.2.5247]	134000			-2202.510580			0.043464
[10.2.5247]	135000			-2202.510580			0.039327
[10.2.5247]	136000			-2202.510580			0.035585
[10.2.5247]	137000			-2202.510580			0.032198
[10.2.5247]	138000			-2202.510580			0.029134
[10.2.5247]	139000			-2202.510580			0.026361
[10.2.5247]	140000			-2202.510580			0.023853
[10.2.5247]	141000			-2202.510580			0.021583
[10.2.5247]	142000			-2202.510580			0.019529
[10.2.5247]	143000			-2202.510580			0.017670
[10.2.5247]	144000			-2202.510580			0.015989
[10.2.5247]	145000			-2202.510580			0.014467
[10.2.5247]	146000			-2202.510580			0.013090
[10.2.5247]	147000			-2202.510580			0.011844
[10.2.5247]	148000			-2202.510580			0.010717
[10.2.5247]	149000			-2202.510580			0.009697
[10.2.5247]	150000			-2202.510580			0.008774
[10.2.5247]	151000			-2202.510580			0.007939
[10.2.5247]	152000			-2202.510580			0.007184
[10.2.5247]	153000			-2202.510580			0.006500
[10.2.5247]	154000			-2202.510580			0.005882
[10.2.5247]	155000			-2202.510580			0.005322
[10.2.5247]	156000			-2202.510580			0.004815
[10.2.5247]	157000			-2202.510580			0.004357
[10.2.5247]	158000			-2202.510580			0.003942
[10.2.5247]	159000			-2202.510580			0.003567
[10.2.5247]	160000			-2202.510580			0.003228
[10.2.5247]	161000			-2202.510580			0.002921
[10.2.5247]	162000			-2202.510580			0.002643
[10.2.5247]	163000			-2202.510580			0.002391
[10.2.5247]	164000			-2202.510580			0.002164
[10.2.5247]	165000			-2202.510580			0.001958
[10.2.5247]	166000			-2202.510580			0.001771
[10.2.5247]	167000			-2202.510580			0.001603
[10.2.5247]	168000			-2202.510580			0.001450
[10.2.5247]	169000			-2202.510580			0.001312
[10.2.5247]	170000			-2202.510580			0.001187
[10.2.5247]	171000			-2202.510580			0.001074
[10.2.5247]	Iteration: 2
[10.2.5247]	Step			Log-likelihood			Temperature
[10.2.5247]	1			-38991.998941			99900.000000
[10.2.5247]	1000			-37182.862532			36769.542477
[10.2.5247]	2000			-36006.795033			23501.721022
[10.2.5247]	3000			-36813.796926			21265.130236
[10.2.5247]	4000			-33552.307017			19241.389323
[10.2.5247]	5000			-39430.682895			17410.241977
[10.2.5247]	6000			-33930.954933			15753.359626
