Ground,reSASC,Dollo-k,PP,infSCITE,Measure
-1914.913363466796,-1838.675555,-2046.777093,-2046.777093,0.0,Log-Likelihood
-1598.924991950122,-1406.963474,-1469.568104,-1469.568104,0.0,Log-Likelihood
-1612.8596649923486,-1600.089502,-1892.76248,-1892.76248,0.0,Log-Likelihood
-1553.5184837730635,-1414.676046,-1640.432134,-1640.432134,0.0,Log-Likelihood
-2089.7829380113944,-1932.544744,-2189.492557,-2189.492557,0.0,Log-Likelihood
-1442.8844722532185,-1326.925157,-1463.517076,-1463.517076,0.0,Log-Likelihood
-1724.8575077631592,-1637.354842,-1652.531722,-1652.531722,0.0,Log-Likelihood
-1453.6745974626403,-1282.868962,-1477.983618,-1477.983618,0.0,Log-Likelihood
-1605.016681481277,-1424.725496,-1494.630893,-1494.630893,0.0,Log-Likelihood
-2019.2858852561922,-1876.936899,-2287.128719,-2287.128719,0.0,Log-Likelihood
-1301.4287583487828,-1119.240463,-1540.111207,-1542.008317,0.0,Log-Likelihood
-1777.1691165438344,-1714.211078,-1799.581027,-1799.581027,0.0,Log-Likelihood
-2274.3359256489234,-2207.871339,-2474.527868,-2474.527868,0.0,Log-Likelihood
-1715.8679651568991,-1638.020719,-1643.424377,-1643.424377,0.0,Log-Likelihood
-1467.395601822319,-1313.663956,-1686.558644,-1686.558644,0.0,Log-Likelihood
-1387.7652657770402,-1300.550272,-1489.425292,-1489.425292,0.0,Log-Likelihood
-1706.9757571034572,-1581.413089,-1587.104419,-1587.104419,0.0,Log-Likelihood
-1570.6989379760114,-1397.70852,-1397.70852,-1397.70852,0.0,Log-Likelihood
-1948.3463516080815,-1790.938289,-1830.489926,-1830.489926,0.0,Log-Likelihood
-1349.704151918508,-1169.98831,-1493.079554,-1493.079554,0.0,Log-Likelihood
-1695.8723627335219,-1625.325884,-1811.242663,-1811.242663,0.0,Log-Likelihood
-1687.704631364903,-1505.228664,-1564.039073,-1564.039073,0.0,Log-Likelihood
-1397.961273437169,-1232.964771,-1412.902547,-1412.902547,0.0,Log-Likelihood
-1416.0190481544246,-1249.007632,-1343.57546,-1343.57546,0.0,Log-Likelihood
-2070.22159446022,-1896.197083,-2175.590291,-2175.590291,0.0,Log-Likelihood
-1375.5859673462028,-1212.368772,-1354.364348,-1354.364348,0.0,Log-Likelihood
-1532.4698378895428,-1421.049956,-1700.152883,-1700.152883,0.0,Log-Likelihood
-1716.73700514263,-1557.026357,-1821.976688,-1821.976688,0.0,Log-Likelihood
-1554.9282369704063,-1444.830121,-1628.01381,-1628.01381,0.0,Log-Likelihood
-1538.839042951027,-1360.157295,-1511.926094,-1511.926094,0.0,Log-Likelihood
-1356.0884832366564,-1200.459727,-1410.751264,-1410.751264,0.0,Log-Likelihood
-1036.0239187914449,-960.649127,-1130.526009,-1130.526009,0.0,Log-Likelihood
-1703.6832128716521,-1544.867835,-1610.371415,-1610.371415,0.0,Log-Likelihood
-1559.6114601058318,-1438.248487,-1591.626724,-1591.626724,0.0,Log-Likelihood
-1214.2514072560905,-1060.637564,-1208.324471,-1208.324471,0.0,Log-Likelihood
-1521.1547448469078,-1356.040439,-1655.012344,-1655.012344,0.0,Log-Likelihood
-1211.3921323986497,-1032.998057,-1440.008471,-1440.008471,0.0,Log-Likelihood
-1755.9085719866134,-1561.015851,-1689.156313,-1689.156313,0.0,Log-Likelihood
-1685.5174435681813,-1509.30815,-1730.630167,-1730.630167,0.0,Log-Likelihood
-1285.4984350881969,-1126.075459,-1328.778556,-1328.778556,0.0,Log-Likelihood
-1620.4791475529653,-1430.41474,-1663.759268,-1663.759268,0.0,Log-Likelihood
-1784.4079066573827,-1642.058921,-1861.836007,-1861.836007,0.0,Log-Likelihood
-1378.4102121561853,-1257.047239,-1353.512176,-1353.512176,0.0,Log-Likelihood
-1510.5214901471363,-1426.982914,-1523.447851,-1523.447851,0.0,Log-Likelihood
-1431.8168185453649,-1390.014662,-1743.905996,-1743.905996,0.0,Log-Likelihood
-1347.7790632900058,-1190.828542,-1402.441844,-1402.441844,0.0,Log-Likelihood
-2215.535828389302,-2029.840985,-2398.686034,-2398.686034,0.0,Log-Likelihood
-1195.8411549183652,-1065.162501,-1414.875183,-1414.875183,0.0,Log-Likelihood
-1238.8133265764425,-1068.007691,-1369.360506,-1369.360506,0.0,Log-Likelihood
-1076.4883522224895,-1115.974253,-1129.254023,-1129.254023,0.0,Log-Likelihood
