Ground,reSASC,SASC,Measure
-1899.6474782236505,-1727.729549,-1875.821931,Log-Likelihood
-1716.3273393473116,-1700.090232,-1743.723762,Log-Likelihood
-1570.3855388148472,-1398.821019,-1529.721608,Log-Likelihood
-1903.138474880891,-1909.666687,-2042.045093,Log-Likelihood
-1702.6015611366229,-1671.305377,-1796.632439,Log-Likelihood
-2168.472550149707,-2254.679382,-2252.255008,Log-Likelihood
-1533.1474484307328,-1361.347322,-1414.584205,Log-Likelihood
-1951.8310316985628,-2032.346534,-1956.462134,Log-Likelihood
-2004.750815121167,-1893.776012,-1973.003084,Log-Likelihood
-2066.6254795168934,-1944.150213,-2097.171054,Log-Likelihood
-1620.75150429161,-1602.617287,-1657.117423,Log-Likelihood
-1342.6913420304893,-1225.907406,-1339.250204,Log-Likelihood
-1906.494567806521,-1929.741983,-1876.622904,Log-Likelihood
-1539.9231037216366,-1406.18298,-1472.58183,Log-Likelihood
-1538.251762104844,-1366.569439,-1355.186779,Log-Likelihood
-1984.447547766724,-1924.694714,-2030.449072,Log-Likelihood
-1610.1279718591966,-1587.963929,-1735.593553,Log-Likelihood
-1798.2242727079397,-1749.854099,-1749.971902,Log-Likelihood
-1427.7562781618703,-1214.337536,-1210.543316,Log-Likelihood
-1339.193254850623,-1207.350242,-1302.205741,Log-Likelihood
-1329.0456005086712,-1193.172761,-1172.657961,Log-Likelihood
-1065.6357000456323,-1034.221713,-1089.237903,Log-Likelihood
-1762.1827668411186,-1552.440441,-1724.561396,Log-Likelihood
-1592.764654187536,-1517.599334,-1805.561801,Log-Likelihood
-1778.7364166751022,-1612.745424,-1701.909593,Log-Likelihood
-1459.472167802059,-1539.869867,-1596.352662,Log-Likelihood
-1563.5587592065538,-1549.100959,-1516.967892,Log-Likelihood
-1431.0838851390429,-1449.112561,-1514.866343,Log-Likelihood
-1744.5617981759428,-1714.927118,-1692.279601,Log-Likelihood
-1428.959546539723,-1319.646247,-1367.1918,Log-Likelihood
-1637.1434650650986,-1639.877458,-1787.852037,Log-Likelihood
-1542.3660215169134,-1347.800576,-1531.820244,Log-Likelihood
-1691.5023506147475,-1608.866394,-1661.985474,Log-Likelihood
-1613.2176017676454,-1553.346965,-1719.797633,Log-Likelihood
-1375.5377540287259,-1296.931623,-1541.281603,Log-Likelihood
-1291.6668557418725,-1288.827321,-1231.914022,Log-Likelihood
-1440.8790129807835,-1401.758783,-1515.703185,Log-Likelihood
-1531.1100904861376,-1395.355054,-1399.149274,Log-Likelihood
-1578.3855628364206,-1412.39457,-1523.937018,Log-Likelihood
-1408.585458340343,-1329.743722,-1471.575423,Log-Likelihood
-1538.194621088446,-1383.704091,-1603.123782,Log-Likelihood
-1891.0565795107827,-1832.96525,-2111.95822,Log-Likelihood
-1298.6136412387216,-1269.096764,-1267.199654,Log-Likelihood
-1488.884207600831,-1290.642345,-1296.333675,Log-Likelihood
-1740.1037027942875,-1670.747516,-1813.030765,Log-Likelihood
-1552.0709049644634,-1421.889396,-1503.582928,Log-Likelihood
-1283.514404313789,-1091.081675,-1096.805258,Log-Likelihood
-1364.9187588901004,-1324.137025,-1424.135547,Log-Likelihood
-1526.216655480626,-1333.54832,-1458.757579,Log-Likelihood
-1337.4401201152855,-1302.231913,-1395.308105,Log-Likelihood
