Ground,reSASC,Dollo-k,PP,Measure
-1428.1336075574366,-1549.702842,-1704.786313,-2103.760845,Log-Likelihood
-1509.6361567159213,-1359.137528,-1345.85887,-1465.636477,Log-Likelihood
-1850.1771748657445,-1796.446196,-1796.650657,-2164.229775,Log-Likelihood
-1349.706357072995,-1173.777902,-1261.505821,-1418.50509,Log-Likelihood
-1223.5147276894218,-1080.720813,-1031.091024,-1107.280353,Log-Likelihood
-1470.3525558841209,-1523.33066,-1420.732434,-1842.931608,Log-Likelihood
-1491.5083330131524,-1325.097596,-1378.322037,-1734.727059,Log-Likelihood
-1611.213199638873,-1449.03007,-1517.566258,-1702.301914,Log-Likelihood
-1077.5282036905305,-922.02713,-916.731325,-1010.280305,Log-Likelihood
-1592.3481887963753,-1584.096876,-1632.833906,-2093.229843,Log-Likelihood
-1952.849050698639,-1793.220916,-1789.426696,-1852.166774,Log-Likelihood
-1125.322243270646,-1142.76092,-1128.678248,-1242.504847,Log-Likelihood
-1282.3332975429826,-1109.515877,-1125.760903,-1312.888591,Log-Likelihood
-1508.145193719846,-1411.503322,-1405.754241,-1648.498999,Log-Likelihood
-1300.0557122188684,-1203.446921,-1406.305023,-1715.259319,Log-Likelihood
-1683.337123068758,-1714.182656,-1749.649674,-2112.58536,Log-Likelihood
-1141.185727426014,-1066.443322,-1070.808105,-1217.757614,Log-Likelihood
-1596.7120654903001,-1406.1654,-1430.940998,-1446.117878,Log-Likelihood
-1551.3716272316794,-1432.495705,-1523.553634,-1707.901639,Log-Likelihood
-1356.372138126424,-1392.577909,-1478.171552,-1685.372075,Log-Likelihood
-1779.9751733156736,-1685.343191,-1726.801101,-1818.808237,Log-Likelihood
-1837.9005691481186,-1647.745834,-1636.363175,-1816.810491,Log-Likelihood
-1282.6684950861895,-1110.660376,-1088.000407,-1316.12522,Log-Likelihood
-1601.4454203247071,-1457.047651,-1439.338021,-1498.784071,Log-Likelihood
-1411.1866665141335,-1253.045163,-1237.868283,-1342.441315,Log-Likelihood
-1400.389969018779,-1228.834825,-1253.807419,-1312.726528,Log-Likelihood
-993.1274263942023,-847.869011,-850.333342,-1017.684496,Log-Likelihood
-1455.0624004380645,-1251.860911,-1291.353015,-1310.776681,Log-Likelihood
-1349.2368581147118,-1232.053941,-1204.532023,-1451.829953,Log-Likelihood
-1918.9767438322315,-1715.399746,-1788.76645,-2069.107823,Log-Likelihood
-2011.4252144268864,-2001.108304,-2008.986307,-2521.874155,Log-Likelihood
-1220.3069293848928,-1031.618485,-1020.129352,-1073.354904,Log-Likelihood
-1539.8485063047042,-1530.826579,-1615.984947,-2011.933748,Log-Likelihood
-1173.5329874048023,-1012.62919,-1059.753321,-1312.264588,Log-Likelihood
-1527.3116355162695,-1408.286654,-1391.38744,-1767.892366,Log-Likelihood
-1481.533132669933,-1324.141762,-1315.394366,-1705.621799,Log-Likelihood
-1053.447934755289,-907.869886,-878.642829,-1178.501617,Log-Likelihood
-1638.6334673186343,-1498.831687,-1513.487681,-1582.409887,Log-Likelihood
-1531.5792797356055,-1432.967064,-1461.629999,-1731.889063,Log-Likelihood
-1561.9291307618498,-1411.846721,-1408.052501,-1459.379831,Log-Likelihood
-2125.0977998818985,-1936.514632,-1966.868392,-2018.33116,Log-Likelihood
-1462.480210839187,-1423.729132,-1436.617942,-1700.386342,Log-Likelihood
-1375.0613300413836,-1215.004135,-1184.650375,-1361.302353,Log-Likelihood
-1764.64635206366,-1756.640914,-1761.106906,-2075.890494,Log-Likelihood
-1230.2688619880594,-1144.875902,-1086.200941,-1450.246971,Log-Likelihood
-1995.5326234739541,-1829.708994,-1897.331993,-2150.320582,Log-Likelihood
-1369.3558170680315,-1202.190917,-1174.620999,-1339.783857,Log-Likelihood
-1499.71119208044,-1375.810012,-1409.957992,-1495.545345,Log-Likelihood
-1659.9315436660686,-1537.875542,-1523.64549,-1771.52023,Log-Likelihood
-1709.413797305863,-1673.067634,-1661.683297,-2109.693416,Log-Likelihood
