Ground,reSASC,Dollo-k,PP,Measure
-2043.6561320161236,-2112.878012,-2112.878012,-2112.878012,Log-Likelihood
-1437.9558470450827,-1539.476523,-1539.476523,-1539.476523,Log-Likelihood
-1726.3436806618847,-1581.904863,-1581.904863,-1581.904863,Log-Likelihood
-1812.56805472312,-1851.887952,-1851.887952,-1851.887952,Log-Likelihood
-1805.7777084980044,-1747.192248,-1747.192248,-1747.192248,Log-Likelihood
-2171.411139225297,-2296.953446,-2296.953446,-2296.953446,Log-Likelihood
-1219.8566558876194,-1471.807353,-1471.807353,-1471.807353,Log-Likelihood
-1506.3027199841622,-1495.580595,-1495.580595,-1495.580595,Log-Likelihood
-1346.50769490023,-1287.545299,-1287.545299,-1287.545299,Log-Likelihood
-1594.453954490351,-1656.186059,-1656.186059,-1656.186059,Log-Likelihood
-1820.162414074551,-1850.118677,-1850.118677,-1850.118677,Log-Likelihood
-1301.7062417798645,-1151.567156,-1151.567156,-1151.567156,Log-Likelihood
-1440.7815334384195,-1380.775439,-1380.775439,-1380.775439,Log-Likelihood
-1119.061383602224,-1215.288607,-1213.391497,-1215.288607,Log-Likelihood
-1344.1336586049372,-1245.377467,-1245.377467,-1245.377467,Log-Likelihood
-1161.1695823037312,-1030.268993,-1030.268993,-1030.268993,Log-Likelihood
-1197.2303058442033,-1529.555363,-1529.555363,-1529.555363,Log-Likelihood
-1374.2937575507588,-1645.974735,-1645.974735,-1647.871845,Log-Likelihood
-1669.4881148470674,-1780.041778,-1780.041778,-1780.041778,Log-Likelihood
-1278.7333276284746,-1185.160892,-1185.160892,-1185.160892,Log-Likelihood
-2003.8704169620864,-2034.981464,-2034.981464,-2034.981464,Log-Likelihood
-1226.7549475514115,-1237.433035,-1237.433035,-1237.433035,Log-Likelihood
-1817.9679055640179,-2093.648074,-2093.648074,-2093.648074,Log-Likelihood
-1471.2491512020429,-1281.538153,-1281.538153,-1281.538153,Log-Likelihood
-1551.7442053758784,-1445.400686,-1445.400686,-1445.400686,Log-Likelihood
-1328.2465805042611,-1384.940239,-1384.940239,-1384.940239,Log-Likelihood
-1202.3549254406403,-1040.94859,-1040.94859,-1040.94859,Log-Likelihood
-1465.4282683886493,-1589.323234,-1589.323234,-1589.323234,Log-Likelihood
-1464.6079778639612,-1627.173229,-1627.173229,-1627.173229,Log-Likelihood
-1524.4742419946049,-1454.169123,-1454.169123,-1454.169123,Log-Likelihood
-1155.7663975275739,-1106.044041,-1106.044041,-1106.044041,Log-Likelihood
-1359.5473299875416,-1191.343166,-1191.343166,-1191.343166,Log-Likelihood
-1336.2937424432312,-1329.624194,-1329.624194,-1329.624194,Log-Likelihood
-1494.7649024564746,-1399.106431,-1399.106431,-1399.106431,Log-Likelihood
-1511.0824087339847,-1565.878949,-1565.878949,-1565.878949,Log-Likelihood
-1445.5244871667653,-1299.447018,-1299.447018,-1299.447018,Log-Likelihood
-1580.5126071342354,-1417.361148,-1417.361148,-1417.361148,Log-Likelihood
-1273.5666025775863,-1407.189296,-1407.189296,-1407.189296,Log-Likelihood
-1171.2589256234367,-1025.181457,-1025.181457,-1025.181457,Log-Likelihood
-1367.64339238276,-1621.644298,-1621.644298,-1621.644298,Log-Likelihood
-902.9872911118379,-781.460203,-781.460203,-781.460203,Log-Likelihood
-2051.2302934717036,-2074.06777,-2074.06777,-2074.06777,Log-Likelihood
-1225.8167215058568,-1178.2825,-1178.2825,-1178.2825,Log-Likelihood
-1795.2740037282042,-1889.546809,-1889.546809,-1889.546809,Log-Likelihood
-1303.0539275609874,-1361.59244,-1361.59244,-1361.59244,Log-Likelihood
-1560.8617629474265,-1737.946889,-1737.946889,-1737.946889,Log-Likelihood
-1608.9942614055838,-1639.108201,-1639.108201,-1639.108201,Log-Likelihood
-1628.8418606230966,-1447.707593,-1447.707593,-1447.707593,Log-Likelihood
-1331.3146403205765,-1511.272514,-1497.37993,-1497.37993,Log-Likelihood
-1288.1434728013735,-1215.581688,-1211.787468,-1211.787468,Log-Likelihood
