task_id	name	process	status	exit	duration	realtime	rss	peak_rss
113	run_ppsasc (38)	run_ppsasc	CACHED	0	22m 43s	22m 43s	4.7 MB	4.7 MB
154	run_resasc (36)	run_resasc	CACHED	0	14m 2s	14m 2s	4.7 MB	4.7 MB
15	cvt_scite_input (4)	cvt_scite_input	CACHED	0	1.2s	322ms	16.7 MB	16.7 MB
178	run_sasc (48)	run_sasc	CACHED	0	29m 27s	29m 27s	4.6 MB	4.6 MB
141	run_sasc (33)	run_sasc	CACHED	0	31m 2s	31m 1s	4.5 MB	4.5 MB
169	cvt_scite_input (41)	cvt_scite_input	CACHED	0	1.2s	284ms	20.4 MB	20.4 MB
143	run_ppsasc (46)	run_ppsasc	CACHED	0	23m 48s	23m 48s	4.6 MB	4.6 MB
136	cvt_scite_input (28)	cvt_scite_input	CACHED	0	1.2s	366ms	16.6 MB	16.6 MB
82	run_resasc (19)	run_resasc	CACHED	0	14m 17s	14m 16s	4.6 MB	4.6 MB
51	run_sasc (15)	run_sasc	CACHED	0	2h 2m 49s	2h 2m 48s	4.5 MB	4.5 MB
58	run_sasc (17)	run_sasc	CACHED	0	33m 33s	33m 33s	4.6 MB	4.6 MB
100	run_ppsasc (31)	run_ppsasc	CACHED	0	23m 35s	23m 35s	4.6 MB	4.6 MB
74	run_sasc (24)	run_sasc	CACHED	0	30m 5s	30m 4s	4.6 MB	4.6 MB
194	cvt_scite_input (49)	cvt_scite_input	CACHED	0	1.3s	320ms	23.9 MB	23.9 MB
120	run_sasc (29)	run_sasc	CACHED	0	32m 29s	32m 28s	4.7 MB	4.7 MB
94	run_ppsasc (28)	run_ppsasc	CACHED	0	25m 6s	25m 6s	4.7 MB	4.7 MB
125	cvt_scite_input (25)	cvt_scite_input	CACHED	0	1.3s	268ms	2.2 MB	2.2 MB
128	run_ppsasc (42)	run_ppsasc	CACHED	0	27m 21s	27m 21s	4.6 MB	4.6 MB
71	cvt_scite_input (14)	cvt_scite_input	CACHED	0	1.2s	367ms	17 MB	17 MB
44	run_resasc (10)	run_resasc	CACHED	0	14m 32s	14m 32s	4.6 MB	4.6 MB
103	run_ppsasc (33)	run_ppsasc	CACHED	0	22m 2s	22m 2s	4.7 MB	4.7 MB
26	cvt_scite_input (6)	cvt_scite_input	CACHED	0	1.3s	304ms	18.3 MB	18.3 MB
47	run_sasc (14)	run_sasc	CACHED	0	27m 9s	27m 9s	4.6 MB	4.6 MB
139	cvt_scite_input (29)	cvt_scite_input	CACHED	0	1.3s	341ms	21.8 MB	21.8 MB
61	cvt_scite_input (12)	cvt_scite_input	CACHED	0	1.5s	493ms	15.9 MB	15.9 MB
165	cvt_scite_input (40)	cvt_scite_input	CACHED	0	1.2s	238ms	22.4 MB	22.4 MB
118	run_resasc (30)	run_resasc	CACHED	0	14m 2s	14m 2s	4.6 MB	4.6 MB
106	run_ppsasc (36)	run_ppsasc	CACHED	0	25m 53s	25m 52s	4.7 MB	4.7 MB
180	run_sasc (50)	run_sasc	CACHED	0	35m 44s	35m 43s	4.7 MB	4.7 MB
134	cvt_scite_input (27)	cvt_scite_input	CACHED	0	1.1s	264ms	19.9 MB	19.9 MB
80	cvt_scite_input (15)	cvt_scite_input	CACHED	0	1.3s	399ms	14 MB	14 MB
101	run_resasc (26)	run_resasc	CACHED	0	14m 2s	14m 2s	4.6 MB	4.6 MB
9	run_ppsasc (3)	run_ppsasc	CACHED	0	22m 24s	22m 24s	4.6 MB	4.6 MB
25	run_ppsasc (8)	run_ppsasc	CACHED	0	1h 36m 2s	1h 36m 2s	4.7 MB	4.7 MB
46	run_ppsasc (14)	run_ppsasc	CACHED	0	27m 6s	27m 6s	4.5 MB	4.5 MB
119	cvt_scite_input (23)	cvt_scite_input	CACHED	0	1.2s	326ms	20.2 MB	20.2 MB
50	cvt_scite_input (10)	cvt_scite_input	CACHED	0	1.4s	373ms	2.1 MB	2.1 MB
42	run_sasc (12)	run_sasc	CACHED	0	1h 28m 53s	1h 28m 53s	4.7 MB	4.7 MB
36	run_sasc (10)	run_sasc	CACHED	0	32m	31m 59s	4.6 MB	4.6 MB
200	run_resasc (50)	run_resasc	CACHED	0	14m 19s	14m 19s	4.7 MB	4.7 MB
132	run_ppsasc (43)	run_ppsasc	CACHED	0	24m 48s	24m 47s	4.6 MB	4.6 MB
84	cvt_scite_input (16)	cvt_scite_input	CACHED	0	1.3s	327ms	17.7 MB	17.7 MB
41	run_resasc (9)	run_resasc	CACHED	0	14m 8s	14m 8s	4.7 MB	4.7 MB
45	run_sasc (13)	run_sasc	CACHED	0	27m 41s	27m 41s	4.5 MB	4.5 MB
162	run_sasc (38)	run_sasc	CACHED	0	20m 8s	20m 7s	4.7 MB	4.7 MB
70	run_sasc (21)	run_sasc	CACHED	0	30m 29s	30m 28s	4.7 MB	4.7 MB
186	run_resasc (42)	run_resasc	CACHED	0	13m 49s	13m 49s	4.8 MB	4.8 MB
144	run_ppsasc (47)	run_ppsasc	CACHED	0	2h 7m 11s	2h 7m 11s	4.6 MB	4.6 MB
164	cvt_scite_input (39)	cvt_scite_input	CACHED	0	1.3s	345ms	17.5 MB	17.5 MB
130	run_resasc (33)	run_resasc	CACHED	0	13m 28s	13m 28s	4.6 MB	4.6 MB
188	run_resasc (44)	run_resasc	CACHED	0	14m 14s	14m 13s	4.6 MB	4.6 MB
195	cvt_scite_input (50)	cvt_scite_input	CACHED	0	1.2s	231ms	2.2 MB	2.2 MB
83	run_sasc (25)	run_sasc	CACHED	0	53m 48s	53m 48s	4.7 MB	4.7 MB
95	run_resasc (23)	run_resasc	CACHED	0	13m 55s	13m 55s	4.7 MB	4.7 MB
160	run_sasc (37)	run_sasc	CACHED	0	39m 16s	39m 16s	4.7 MB	4.7 MB
18	run_resasc (4)	run_resasc	CACHED	0	14m 9s	14m 9s	4.6 MB	4.6 MB
23	run_ppsasc (7)	run_ppsasc	CACHED	0	21m 21s	21m 20s	4.7 MB	4.7 MB
91	run_ppsasc (27)	run_ppsasc	CACHED	0	20m 11s	20m 11s	4.6 MB	4.6 MB
59	run_ppsasc (18)	run_ppsasc	CACHED	0	42m 35s	42m 34s	4.6 MB	4.6 MB
52	run_ppsasc (16)	run_ppsasc	CACHED	0	27m 17s	27m 16s	4.6 MB	4.6 MB
163	run_ppsasc (50)	run_ppsasc	CACHED	0	20m 50s	20m 50s	4.6 MB	4.6 MB
127	run_resasc (32)	run_resasc	CACHED	0	13m 26s	13m 25s	4.6 MB	4.6 MB
150	run_ppsasc (49)	run_ppsasc	CACHED	0	44m	44m	4.6 MB	4.6 MB
54	run_sasc (16)	run_sasc	CACHED	0	36m 49s	36m 48s	4.6 MB	4.6 MB
66	run_sasc (20)	run_sasc	CACHED	0	45m 23s	45m 23s	4.6 MB	4.6 MB
181	run_resasc (39)	run_resasc	CACHED	0	13m 39s	13m 39s	4.7 MB	4.7 MB
89	run_resasc (20)	run_resasc	CACHED	0	13m 45s	13m 45s	4.7 MB	4.7 MB
21	cvt_scite_input (5)	cvt_scite_input	CACHED	0	1.1s	243ms	18.2 MB	18.2 MB
32	run_sasc (9)	run_sasc	CACHED	0	36m 3s	36m 3s	4.6 MB	4.6 MB
177	run_resasc (38)	run_resasc	CACHED	0	13m 59s	13m 59s	4.7 MB	4.7 MB
49	run_resasc (11)	run_resasc	CACHED	0	14m 13s	14m 13s	4.7 MB	4.7 MB
48	run_ppsasc (15)	run_ppsasc	CACHED	0	25m 39s	25m 39s	4.6 MB	4.6 MB
179	run_sasc (49)	run_sasc	CACHED	0	47m 18s	47m 17s	4.6 MB	4.6 MB
29	run_ppsasc (9)	run_ppsasc	CACHED	0	26m 2s	26m 2s	4.6 MB	4.6 MB
19	run_ppsasc (6)	run_ppsasc	CACHED	0	25m 1s	25m 1s	4.6 MB	4.6 MB
1	run_resasc (1)	run_resasc	CACHED	0	13m 52s	13m 52s	4.7 MB	4.7 MB
12	run_sasc (4)	run_sasc	CACHED	0	34m 15s	34m 15s	4.5 MB	4.5 MB
67	run_ppsasc (20)	run_ppsasc	CACHED	0	1h 12m 40s	1h 12m 40s	4.5 MB	4.5 MB
14	run_ppsasc (4)	run_ppsasc	CACHED	0	26m 23s	26m 23s	4.6 MB	4.6 MB
73	run_sasc (23)	run_sasc	CACHED	0	28m 33s	28m 32s	4.6 MB	4.6 MB
145	run_ppsasc (48)	run_ppsasc	CACHED	0	22m 9s	22m 8s	4.5 MB	4.5 MB
